UnidadFiscalizableId,SiglaInstrumento,NombreRegion,NombreRegionProyecto
1,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
2,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
2,NE,NA,NA
3,RCA,Región del Libertador General Bernardo O'Higgins,NA
4,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
5,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
6,RCA,Región del Libertador General Bernardo O'Higgins,NA
6,RCA,Región del Libertador General Bernardo O'Higgins,NA
6,PPDA,NA,NA
7,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
7,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
8,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
9,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
10,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
11,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
11,NE,NA,NA
12,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
13,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
14,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
16,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
17,RCA,Región del Libertador General Bernardo O'Higgins,NA
18,RCA,Región del Libertador General Bernardo O'Higgins,NA
18,NE,NA,NA
18,PC,NA,NA
19,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
20,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
20,RCA,Región del Libertador General Bernardo O'Higgins,NA
21,RCA,Región del Libertador General Bernardo O'Higgins,NA
22,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
23,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
24,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
25,RCA,Región del Libertador General Bernardo O'Higgins,NA
26,RCA,Región del Libertador General Bernardo O'Higgins,NA
27,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
27,RCA,Región del Libertador General Bernardo O'Higgins,Región del Libertador General Bernardo O'Higgins
28,RCA,Región del Libertador General Bernardo O'Higgins,Región del Maule
29,RCA,Región Metropolitana,Región Metropolitana
30,RCA,Región Metropolitana,Región Metropolitana
32,RCA,Interregional,Interregional
33,RCA,Región Metropolitana,Región Metropolitana
34,RCA,Región Metropolitana,Región Metropolitana
34,RCA,Región Metropolitana,Región Metropolitana
34,RCA,Región Metropolitana,Región Metropolitana
35,RCA,Región Metropolitana,Región Metropolitana
36,RCA,Región Metropolitana,NA
36,RCA,Región Metropolitana,NA
37,RCA,Región Metropolitana,NA
38,RCA,Región Metropolitana,NA
39,RCA,Región Metropolitana,Región Metropolitana
40,RCA,Región Metropolitana,NA
41,RCA,Región Metropolitana,NA
41,NE,NA,NA
41,PC,NA,NA
42,RCA,Región Metropolitana,NA
43,RCA,Región Metropolitana,NA
45,RCA,Región Metropolitana,NA
46,RCA,Región Metropolitana,NA
47,RCA,Región Metropolitana,Región Metropolitana
48,RCA,Región Metropolitana,Región Metropolitana
49,RCA,NA,NA
50,RCA,Región Metropolitana,Región Metropolitana
51,RCA,Región Metropolitana,NA
52,RCA,Región Metropolitana,Región Metropolitana
52,RCA,Región Metropolitana,NA
53,RCA,Región Metropolitana,Región Metropolitana
54,RCA,Región Metropolitana,NA
55,RCA,Región Metropolitana,Región Metropolitana
56,RCA,Región Metropolitana,NA
57,RCA,Región Metropolitana,Región Metropolitana
57,RCA,Región Metropolitana,NA
58,RCA,Región Metropolitana,Región Metropolitana
59,RCA,Región Metropolitana,NA
60,RCA,Región Metropolitana,NA
61,RCA,Región Metropolitana,NA
61,RCA,Región Metropolitana,NA
62,RCA,Región Metropolitana,NA
65,RCA,Región Metropolitana,NA
65,RCA,Región Metropolitana,NA
66,RCA,Región Metropolitana,Región Metropolitana
67,RCA,Región Metropolitana,NA
68,RCA,Interregional,Interregional
69,RCA,Región Metropolitana,NA
70,RCA,Región Metropolitana,Región Metropolitana
71,RCA,Región Metropolitana,Región Metropolitana
72,RCA,Región Metropolitana,NA
73,RCA,Región Metropolitana,Región Metropolitana
73,RCA,Región Metropolitana,Región Metropolitana
73,RCA,Región Metropolitana,NA
74,RCA,Región Metropolitana,NA
