UnidadFiscalizableId,RegionNombre,Latitud,Longitud,CategoriaEconomicaNombre
1,Región del Libertador General Bernardo O'Higgins,-34.017892,-70.70131,Equipamiento
2,Región del Libertador General Bernardo O'Higgins,-34.259374,-70.802872,Agroindustrias
3,Región del Libertador General Bernardo O'Higgins,-34.237754,-70.775857,Otras categorías
4,Región del Libertador General Bernardo O'Higgins,-34.166419,-71.45372,Vivienda e Inmobiliarios
5,Región del Libertador General Bernardo O'Higgins,NA,NA,Equipamiento
6,Región del Libertador General Bernardo O'Higgins,-34.163997,-70.773729,Agroindustrias
7,Región del Libertador General Bernardo O'Higgins,-34.555587,-70.999805,Saneamiento Ambiental
8,Región del Libertador General Bernardo O'Higgins,-34.060494,-70.757276,Agroindustrias
9,Región del Libertador General Bernardo O'Higgins,-34.05514,-70.728033,Vivienda e Inmobiliarios
10,Región del Libertador General Bernardo O'Higgins,-34.553591,-70.967839,Agroindustrias
11,Región del Libertador General Bernardo O'Higgins,-34.5775,-70.9744,Agroindustrias
12,Región del Libertador General Bernardo O'Higgins,-34.423617,-70.852813,Agroindustrias
13,Región del Libertador General Bernardo O'Higgins,-34.44038309,-71.06788959,Saneamiento Ambiental
14,Región del Libertador General Bernardo O'Higgins,-34.58636271,-70.9991464,Saneamiento Ambiental
15,Región del Libertador General Bernardo O'Higgins,-34.4423905,-70.9463887,NA
16,Región del Libertador General Bernardo O'Higgins,-34.686621,-70.891837,Pesca y Acuicultura
17,Región del Libertador General Bernardo O'Higgins,-34.815006,-70.986378,Agroindustrias
18,Región del Libertador General Bernardo O'Higgins,-34.135826,-70.730384,Agroindustrias
19,Región del Libertador General Bernardo O'Higgins,-34.29083919,-71.09023458,Saneamiento Ambiental
20,Región del Libertador General Bernardo O'Higgins,-34.23151651,-70.9439251,Saneamiento Ambiental
21,Región del Libertador General Bernardo O'Higgins,NA,NA,Infraestructura Hidráulica
22,Región del Libertador General Bernardo O'Higgins,-34.425279,-71.69543,Agroindustrias
23,Región del Libertador General Bernardo O'Higgins,-34.81629,-71.093166,Energía
24,Región del Libertador General Bernardo O'Higgins,-34.34696772,-70.83480701,Saneamiento Ambiental
25,Región del Libertador General Bernardo O'Higgins,-34.866469,-71.749276,Infraestructura Hidráulica
26,Región del Libertador General Bernardo O'Higgins,-34.491496,-72.013773,Vivienda e Inmobiliarios
27,Región del Libertador General Bernardo O'Higgins,-34.73451504,-71.26763797,Saneamiento Ambiental
28,Región del Libertador General Bernardo O'Higgins,NA,NA,Equipamiento
29,Región Metropolitana,-33.530303,-70.760804,Instalación fabril
30,Región Metropolitana,-33.134907,-70.814392,Instalación fabril
31,Región Metropolitana,NA,NA,NA
32,Región Metropolitana,-33.327078,-70.734724,Instalación fabril
33,Región Metropolitana,-33.479695,-70.660869,Instalación fabril
34,Región Metropolitana,-33.56046926,-70.71967979,Energía
35,Región Metropolitana,-33.598624,-70.692915,Infraestructura de Transporte
36,Región Metropolitana,-33.728569,-70.7718955,Vivienda e Inmobiliarios
37,Región Metropolitana,-33.664654,-71.243676,Instalación fabril
38,Región Metropolitana,-33.504008,-70.785933,Vivienda e Inmobiliarios
39,Región Metropolitana,-33.449724,-70.635361,Vivienda e Inmobiliarios
40,Región Metropolitana,-33.8625,-70.757531,Agroindustrias
41,Región Metropolitana,-33.875312,-70.642602,Agroindustrias
42,Región Metropolitana,-33.597373,-70.577385,Equipamiento
43,Región Metropolitana,-33.558941,-70.552191,Vivienda e Inmobiliarios
44,NA,NA,NA,Equipamiento
45,Región Metropolitana,-33.313315,-70.732146,Instalación fabril
46,Región Metropolitana,-33.801278,-70.797702,Agroindustrias
47,Región Metropolitana,-33.427708,-70.771409,Infraestructura de Transporte
48,Región Metropolitana,-33.559724,-70.565153,Infraestructura de Transporte
49,Región Metropolitana,-33.428154,-70.540701,Equipamiento
50,Región Metropolitana,NA,NA,Equipamiento
51,Región Metropolitana,-33.854602,-70.764086,Agroindustrias
52,Región Metropolitana,-33.302238,-70.8708395,Vivienda e Inmobiliarios
53,Región Metropolitana,-33.442624,-70.766323,Vivienda e Inmobiliarios
54,Región Metropolitana,-33.5755,-70.599472,Vivienda e Inmobiliarios
55,Región Metropolitana,-33.560885,-70.700037,Instalación fabril
56,Región Metropolitana,-33.691117,-70.697216,Infraestructura de Transporte
57,Región Metropolitana,-33.8078,-70.8713,Saneamiento Ambiental
58,Región Metropolitana,-33.456639,-70.934179,Infraestructura de Transporte
59,Región Metropolitana,-33.651365,-70.573118,Vivienda e Inmobiliarios
60,Región Metropolitana,-33.404323,-70.851144,Equipamiento
61,Región Metropolitana,NA,NA,Vivienda e Inmobiliarios
62,Región Metropolitana,-33.35161,-70.504399,Equipamiento
63,NA,NA,NA,NA
64,Región Metropolitana,NA,NA,NA
65,Región Metropolitana,-33.315336,-70.721667,Transportes y almacenajes
66,Región Metropolitana,-33.297178,-70.766467,Otras categorías
67,Región Metropolitana,-33.517791,-70.596148,Equipamiento
68,Región Metropolitana,-33.41246,-70.602875,Equipamiento
69,Región Metropolitana,-33.530558,-70.691259,Agroindustrias
70,Región Metropolitana,-33.527805,-70.751795,Energía
71,Región Metropolitana,-33.337733,-70.703832,Instalación fabril
72,Región Metropolitana,-33.220672,-70.911493,Transportes y almacenajes
73,Región Metropolitana,-33.547966,-70.710866,Instalación fabril
74,Región Metropolitana,-33.556642,-70.720233,Instalación fabril
75,Región Metropolitana,NA,NA,Agroindustrias
76,Región Metropolitana,-33.581,-70.8622,Pesca y Acuicultura
77,Región Metropolitana,-33.412367,-70.511188,Vivienda e Inmobiliarios
78,Región Metropolitana,-33.460905,-70.783876,Instalación fabril
79,Región Metropolitana,-33.479695,-70.660869,Transportes y almacenajes
80,Región Metropolitana,-33.326903,-70.733395,Instalación fabril
81,Región Metropolitana,NA,NA,Instalación fabril
82,Región Metropolitana,-33.639393,-70.674572,Equipamiento
83,Región Metropolitana,-33.021117,-70.680156,Infraestructura Hidráulica
84,Región Metropolitana,-33.365973,-70.678919,Equipamiento
85,Región Metropolitana,NA,NA,NA
86,Región Metropolitana,-33.388071,-70.757016,Equipamiento
87,Región Metropolitana,-33.607927,-70.629408,Infraestructura de Transporte
88,Región Metropolitana,-33.490505,-70.615354,Vivienda e Inmobiliarios
89,Región Metropolitana,-33.543043,-70.696424,Instalación fabril
90,Región Metropolitana,-33.114032,-70.667702,Transportes y almacenajes
91,Región Metropolitana,-33.332405,-70.703062,Instalación fabril
92,Región Metropolitana,-33.526563,-70.728023,Transportes y almacenajes
93,Región Metropolitana,NA,NA,Agroindustrias
94,Región Metropolitana,-33.826038,-70.747473,Instalación fabril
95,Región Metropolitana,-33.668083,-70.854582,Equipamiento
96,Región Metropolitana,-33.420093,-70.563008,Vivienda e Inmobiliarios
97,Región Metropolitana,-33.400549,-70.790079,Infraestructura de Transporte
98,Región Metropolitana,-33.442168,-70.650557,Equipamiento
99,Región Metropolitana,-33.184718,-70.828596,Minería
100,Región Metropolitana,-33.477939,-70.755678,Vivienda e Inmobiliarios
101,Región Metropolitana,-33.630362,-70.664737,Minería
102,Región Metropolitana,-33.354264,-70.696513,Instalación fabril
103,Región Metropolitana,-33.291247,-70.737967,Instalación fabril
104,Región Metropolitana,-33.4222,-70.7841,Saneamiento Ambiental
105,Región Metropolitana,-33.394069,-71.128875,Infraestructura Hidráulica
106,Región Metropolitana,-33.4898395,-70.718905,Agroindustrias
107,Región Metropolitana,-33.511094,-70.559002,Vivienda e Inmobiliarios
108,Región Metropolitana,-33.45483179,-70.69880992,Vivienda e Inmobiliarios
109,Región Metropolitana,-33.618937,-70.864314,Instalación fabril
110,Región Metropolitana,-33.478691,-70.515427,Equipamiento
111,Región Metropolitana,-33.357516,-70.663509,Equipamiento
112,Región Metropolitana,-33.382649,-70.743928,Instalación fabril
113,Región Metropolitana,-33.356364,-70.625165,Energía
114,Región Metropolitana,-33.343957,-70.701715,Instalación fabril
115,Región Metropolitana,-33.449493,-70.65003,Vivienda e Inmobiliarios
116,Región Metropolitana,NA,NA,NA
117,Región Metropolitana,NA,NA,NA
118,Región Metropolitana,-33.4086,-71.1229,Saneamiento Ambiental
119,Región Metropolitana,-33.402186,-70.71497,Equipamiento
120,Región Metropolitana,-33.677139,-71.235869,Vivienda e Inmobiliarios
121,Región Metropolitana,-33.462327,-70.54547,Equipamiento
122,Región Metropolitana,-33.630049,-70.903844,Instalación fabril
123,Región Metropolitana,-33.470852,-70.67866,Infraestructura de Transporte
124,Región Metropolitana,-33.5810115,-70.6266665,Otras categorías
125,Región Metropolitana,-33.506924,-70.654554,Vivienda e Inmobiliarios
126,Región Metropolitana,-33.605914,-70.656712,Agroindustrias
127,Región Metropolitana,NA,NA,Agroindustrias
128,Región Metropolitana,-33.4365365,-70.5332605,Otras categorías
129,Región Metropolitana,-33.429892,-70.740736,Infraestructura Hidráulica
130,Región Metropolitana,-33.508856,-70.59453,Equipamiento
131,Región Metropolitana,NA,NA,Saneamiento Ambiental
132,Región Metropolitana,-33.42284,-70.622316,Vivienda e Inmobiliarios
133,Región Metropolitana,-33.426418,-70.625844,Equipamiento
134,Región Metropolitana,-33.602023,-70.606657,Energía
135,Región Metropolitana,-33.563072,-70.815189,Instalación fabril
136,Región Metropolitana,-33.539512,-70.905625,Energía
137,Región Metropolitana,-33.537481,-70.649579,Instalación fabril
138,Región Metropolitana,-33.5664,-70.6867,Saneamiento Ambiental
139,Región Metropolitana,-33.435558,-70.611076,Otras categorías
140,Región Metropolitana,NA,NA,NA
141,Región del Libertador General Bernardo O'Higgins,-34.568505,-70.973548,Agroindustrias
142,Región del Libertador General Bernardo O'Higgins,-34.646125,-71.215082,Saneamiento Ambiental
143,Región del Libertador General Bernardo O'Higgins,-34.72358,-71.062807,Saneamiento Ambiental
144,Región Metropolitana,-33.675552,-70.681948,Agroindustrias
145,Región Metropolitana,-33.614619,-70.686889,Vivienda e Inmobiliarios
146,Región Metropolitana,-33.18573,-70.616419,Minería
147,Región Metropolitana,-33.479217,-70.696094,Instalación fabril
148,Región Metropolitana,-33.678056,-70.812229,Minería
149,Región del Maule,-35.806488,-70.808769,Minería
150,Región del Libertador General Bernardo O'Higgins,-33.978485,-70.701319,Instalación fabril
151,Región del Libertador General Bernardo O'Higgins,NA,NA,Agroindustrias
152,Región del Libertador General Bernardo O'Higgins,-34.343501,-70.8435785,Agroindustrias
153,Región del Libertador General Bernardo O'Higgins,-34.427,-71.0841,Agroindustrias
154,Región del Libertador General Bernardo O'Higgins,-34.448062,-71.094643,Saneamiento Ambiental
155,Región Metropolitana,-33.6114,-70.5669,Instalación fabril
156,Región Metropolitana,-33.70271374,-70.93509475,Instalación fabril
157,Región Metropolitana,-33.576871,-70.829887,Vivienda e Inmobiliarios
158,Región Metropolitana,-33.38597122,-70.79383248,Infraestructura de Transporte
159,NA,NA,NA,NA
160,Región Metropolitana,-33.525206,-70.631257,Instalación fabril
161,Región Metropolitana,-33.664059,-70.690859,Minería
162,Región Metropolitana,-33.453,-70.57,Equipamiento
163,Región del Libertador General Bernardo O'Higgins,-34.33532567,-71.46817633,Energía
164,Región Metropolitana,-33.667056,-70.084094,Infraestructura Hidráulica
165,Región Metropolitana,-33.371659,-70.131378,Minería
166,Región Metropolitana,-33.549763,-70.74877,Instalación fabril
167,Región Metropolitana,-33.607763,-70.724592,Agroindustrias
168,Región Metropolitana,-33.5649145,-70.8188935,Instalación fabril
169,Región del Libertador General Bernardo O'Higgins,-33.9704785,-70.6475097,Otras categorías
170,Región del Libertador General Bernardo O'Higgins,-34.017897,-70.6994145,Agroindustrias
171,Región del Libertador General Bernardo O'Higgins,NA,NA,Saneamiento Ambiental
172,Región del Libertador General Bernardo O'Higgins,-34.300802,-70.840023,Saneamiento Ambiental
173,Región del Libertador General Bernardo O'Higgins,-34.822358,-70.986771,Saneamiento Ambiental
174,Región del Libertador General Bernardo O'Higgins,-34.265054,-71.515838,Infraestructura Hidráulica
175,Región del Libertador General Bernardo O'Higgins,NA,NA,Minería
176,Región del Libertador General Bernardo O'Higgins,-34.84479,-70.553661,Minería
177,Región del Libertador General Bernardo O'Higgins,NA,NA,Minería
178,Región del Libertador General Bernardo O'Higgins,-34.254774,-70.804804,Equipamiento
179,Región del Libertador General Bernardo O'Higgins,-34.21693767,-71.704837,Infraestructura Hidráulica
180,Región del Libertador General Bernardo O'Higgins,NA,NA,Minería
181,Región del Libertador General Bernardo O'Higgins,NA,NA,Saneamiento Ambiental
182,Región del Libertador General Bernardo O'Higgins,-34.606098,-70.988476,Agroindustrias
183,Región del Libertador General Bernardo O'Higgins,-34.293986,-71.319433,Saneamiento Ambiental
184,Región del Libertador General Bernardo O'Higgins,-34.450509,-70.95155,Agroindustrias
185,Región del Libertador General Bernardo O'Higgins,-34.725359,-71.667416,Saneamiento Ambiental
186,NA,NA,NA,NA
187,Región del Libertador General Bernardo O'Higgins,-34.71972856,-71.33567533,Infraestructura Hidráulica
188,NA,NA,NA,Transportes y almacenajes
189,Región Metropolitana,-33.559493,-70.71077,Vivienda e Inmobiliarios
190,Región Metropolitana,-33.629143,-70.6602335,Infraestructura de Transporte
191,Región Metropolitana,-33.445757,-70.644785,Vivienda e Inmobiliarios
192,Región Metropolitana,NA,NA,Transportes y almacenajes
193,Región Metropolitana,-33.469483,-70.625746,Vivienda e Inmobiliarios
194,Región Metropolitana,NA,NA,NA
195,Región Metropolitana,-33.436297,-70.647995,Vivienda e Inmobiliarios
196,Región Metropolitana,-33.43049,-70.789706,Otras categorías
197,Región Metropolitana,-33.612491,-70.590002,Otras categorías
198,Región Metropolitana,-33.36626,-70.749022,Otras categorías
199,Región Metropolitana,-33.380433,-70.63834,Infraestructura de Transporte
200,Región Metropolitana,-33.5862,-70.656076,Infraestructura de Transporte
201,Región Metropolitana,-33.505241,-71.155476,Agroindustrias
202,Región Metropolitana,-33.398164,-70.7767245,Infraestructura de Transporte
203,Región Metropolitana,-33.780932,-70.901123,Agroindustrias
204,Región Metropolitana,-33.2280045,-70.9240815,Agroindustrias
205,Región Metropolitana,-33.24594175,-70.74754825,Agroindustrias
206,Región Metropolitana,NA,NA,Transportes y almacenajes
207,NA,NA,NA,NA
208,Región Metropolitana,-33.92372433,-71.6310075,Agroindustrias
209,NA,NA,NA,NA
210,Región Metropolitana,-33.655964,-70.964443,Agroindustrias
212,Región de Valparaíso,-32.834211,-70.603259,Minería
213,Región de Antofagasta,-21.544395,-69.883883,Minería
214,Región del Biobío,-38.016671,-71.4901434,Energía
215,NA,NA,NA,NA
216,Región de Valparaíso,-33.89946667,-71.63947,Agroindustrias
217,Región Metropolitana,-32.94876,-70.765787,Saneamiento Ambiental
218,NA,NA,NA,NA
219,Región de los Lagos,NA,NA,Energía
220,Región Metropolitana,-32.930183,-70.822776,Agroindustrias
221,Región Metropolitana,-34.034335,-71.027923,Minería
222,Región Metropolitana,-33.63307525,-70.60722849,Instalación fabril
223,Región de Arica y Parinacota,NA,NA,NA
224,Región Metropolitana,-33.6185745,-70.70083383,Instalación fabril
225,Región Metropolitana,-33.075114,-70.768649,Minería
226,Región Metropolitana,-33.640443,-70.352317,Energía
227,Región Metropolitana,-33.1492301,-70.8337067,Instalación fabril
228,Región Metropolitana,-33.52226257,-70.870229,Saneamiento Ambiental
229,Región Metropolitana,-33.1674435,-70.3244411,Minería
230,NA,NA,NA,NA
231,NA,NA,NA,NA
232,Región Metropolitana,-33.699105,-70.745802,Minería
233,Región Metropolitana,-33.4167,-70.6874,Energía
234,NA,NA,NA,NA
235,NA,NA,NA,NA
236,Región de Arica y Parinacota,-18.808602,-69.102876,Transportes y almacenajes
237,NA,NA,NA,Energía
238,NA,NA,NA,NA
239,NA,NA,NA,NA
240,Región Metropolitana,-33.817273,-70.758127,Instalación fabril
241,Región Metropolitana,-33.541098,-70.838166,Saneamiento Ambiental
242,Región Metropolitana,-33.528552,-70.736565,Instalación fabril
243,NA,NA,NA,NA
244,NA,NA,NA,NA
245,Región de Tarapacá,-20.854801,-69.701631,Minería
246,NA,NA,NA,NA
247,NA,NA,NA,NA
248,Región Metropolitana,-34.0939805,-71.18439375,Minería
249,NA,NA,NA,NA
250,Región Metropolitana,-33.699951,-70.798433,Saneamiento Ambiental
251,NA,NA,NA,NA
252,Región Metropolitana,-33.47163,-70.792235,Saneamiento Ambiental
253,Región Metropolitana,-33.420307,-70.8144785,Saneamiento Ambiental
254,Región de Arica y Parinacota,-18.3943647,-70.28930631,Saneamiento Ambiental
255,Región de Arica y Parinacota,-18.497191,-69.153798,Equipamiento
256,Región de Arica y Parinacota,-18.2846229,-69.0765757,Otras categorías
257,Región de Arica y Parinacota,-18.47863439,-70.27112713,Energía
258,Región de Arica y Parinacota,-18.536586,-70.296915,Minería
259,Región de Arica y Parinacota,-18.3618086,-70.3045474,Transportes y almacenajes
260,Región de Arica y Parinacota,-18.31031961,-69.529916,Minería
261,Región de Arica y Parinacota,-18.24551537,-69.72362713,Minería
262,Región de Arica y Parinacota,-18.14822,-69.295524,Otras categorías
263,Región de Arica y Parinacota,-18.201803,-69.268109,Infraestructura de Transporte
264,Región de Arica y Parinacota,-18.493263,-70.29885,Equipamiento
265,Región de Arica y Parinacota,-18.46561,-70.300325,Instalación fabril
266,Región de Arica y Parinacota,-18.440042,-69.645286,Equipamiento
267,NA,NA,NA,NA
268,Región de Arica y Parinacota,-18.434138,-70.290559,Otras categorías
269,Región de Arica y Parinacota,-18.455849,-70.296715,Saneamiento Ambiental
270,Región de Arica y Parinacota,-18.391961,-70.312426,Infraestructura de Transporte
271,Región de Arica y Parinacota,-18.4952827,-70.2843984,Infraestructura de Transporte
272,Región de Arica y Parinacota,NA,NA,Equipamiento
273,Región de Arica y Parinacota,-18.395637,-70.318015,Equipamiento
274,Región de Arica y Parinacota,-18.395075,-70.283947,Minería
275,Región de Arica y Parinacota,-18.4856763,-70.2878774,Pesca y Acuicultura
276,Región de Arica y Parinacota,-18.392516,-70.282042,Equipamiento
277,Región de Arica y Parinacota,-18.4866398,-70.28995693,Energía
278,Región de Arica y Parinacota,-18.4674,-70.2965,Energía
279,Región de Arica y Parinacota,-18.396742,-70.297414,Infraestructura de Transporte
280,Región de Arica y Parinacota,-18.471348,-70.328147,Equipamiento
281,Región de Arica y Parinacota,-18.396742,-70.297414,Equipamiento
282,Región de Arica y Parinacota,-18.47569,-70.320765,Infraestructura de Transporte
283,Región de Arica y Parinacota,-18.90111946,-69.61720467,Minería
284,Región de Arica y Parinacota,-18.95054007,-69.50194705,Saneamiento Ambiental
285,Región de Arica y Parinacota,-18.9433,-69.5101,Saneamiento Ambiental
286,Región de Arica y Parinacota,-19.2108473,-70.2935562,Pesca y Acuicultura
287,Región de Arica y Parinacota,-18.40528297,-70.2077979,Energía
288,Región de Arica y Parinacota,-18.50418,-70.288062,Saneamiento Ambiental
289,Región de Arica y Parinacota,-18.4761469,-70.3281837,Minería
290,Región de Arica y Parinacota,-18.361357,-69.959508,Minería
291,Región de Arica y Parinacota,NA,NA,Saneamiento Ambiental
292,Región de Arica y Parinacota,-18.398201,-70.292215,Equipamiento
293,Región de Arica y Parinacota,-17.95524731,-69.43425203,Minería
294,Región de Tarapacá,-21.2257,-69.8787,Minería
295,Región de Tarapacá,-20.2041248,-70.1594676,Pesca y Acuicultura
296,Región de Tarapacá,NA,NA,Equipamiento
297,Región de Tarapacá,-20.88897967,-70.03420133,Minería
298,Región de Tarapacá,-20.7458985,-70.1818355,Minería
299,Región de Tarapacá,-21.002,-68.7958,Minería
300,Región de Tarapacá,-20.250493,-69.785705,Equipamiento
301,Región de Tarapacá,-20.2648895,-70.0790515,Equipamiento
302,Región de Tarapacá,NA,NA,Equipamiento
303,Región de Tarapacá,NA,NA,NA
304,Región de Arica y Parinacota,-18.2248,-69.3378,Saneamiento Ambiental
305,Región de Arica y Parinacota,-18.202316,-69.268107,Energía
306,Región de Tarapacá,-20.309459,-70.139107,Pesca y Acuicultura
307,Región de Arica y Parinacota,-18.3947,-70.2945,Pesca y Acuicultura
308,Región de Tarapacá,-20.293932,-70.121651,Instalación fabril
309,Región de Tarapacá,-20.307898,-69.631406,Pesca y Acuicultura
310,Región de Tarapacá,-20.260254,-69.781148,Vivienda e Inmobiliarios
311,Región de Tarapacá,-20.245858,-69.7866005,Otras categorías
312,Región de Tarapacá,-20.333584,-69.666524,Otras categorías
313,Región de Tarapacá,-20.817173,-69.693189,Energía
314,Región de Tarapacá,-20.360388,-69.641306,Saneamiento Ambiental
315,Región de Tarapacá,-20.454266,-70.157628,Equipamiento
316,Región de Tarapacá,-21.112897,-70.118719,Pesca y Acuicultura
317,Región de Tarapacá,-20.200169,-70.139315,Transportes y almacenajes
318,Región de Tarapacá,-20.945953,-69.9992385,Minería
319,Región de Tarapacá,-20.98964267,-68.70660567,Energía
320,Región de Tarapacá,NA,NA,Instalación fabril
321,Región de Tarapacá,-20.281958,-70.090502,Instalación fabril
322,Región de Tarapacá,-20.88531175,-70.14548375,Pesca y Acuicultura
323,Región de Tarapacá,-20.967707,-69.678182,Instalación fabril
324,Región de Tarapacá,-20.84793875,-69.259577,Minería
325,Región de Tarapacá,-20.510285,-69.379563,Saneamiento Ambiental
326,Región de Tarapacá,NA,NA,Transportes y almacenajes
327,Región de Tarapacá,-20.82128,-70.03466278,Infraestructura Portuaria
328,Región de Arica y Parinacota,-18.449028,-69.880827,Equipamiento
329,Región de Tarapacá,-20.486113,-70.160369,Pesca y Acuicultura
330,Región de Tarapacá,-20.288602,-70.127158,Equipamiento
331,Región de Arica y Parinacota,-18.4489911,-69.1042813,Minería
332,Región de Tarapacá,-19.641582,-69.276297,Minería
333,Región de Tarapacá,-20.213696,-70.148889,Equipamiento
334,Región de Tarapacá,-20.3030685,-70.135283,Pesca y Acuicultura
335,Región de Tarapacá,-20.48694967,-70.17171167,Pesca y Acuicultura
336,Región de Tarapacá,-20.239169,-70.053338,Otras categorías
337,Región de Tarapacá,-20.342209,-68.978003,Minería
338,Región de Tarapacá,-20.507209,-69.351484,Equipamiento
339,Región de Tarapacá,-20.27731,-70.098503,Vivienda e Inmobiliarios
340,Región de Tarapacá,-20.27699033,-70.102829,Vivienda e Inmobiliarios
